Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<200 , <200,,<200 ,<200 , <200,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,1100 ,1100 , 1100,,1500 ,1500 , 1600,,2100 ,2100 , 2100,,2700 ,2700 , 2800,,3400 ,3400 , 3500,,4100 ,4100 , 4200,,4800 ,4700 , 4800,,5400 ,5300 , 5500,,6000 ,5900 , 6000,,6600 ,6500 , 6700,,7200 ,7100 , 7300,,7800 ,7700 , 7900,,8500 ,8300 , 8600,,9200 ,9000 , 9400,,10 000 ,9800 , 10 000,,11 000 ,11 000 , 11 000,,12 000 ,11 000 , 12 000,,12 000 ,12 000 , 13 000,,13 000 ,12 000 , 13 000,,13 000 ,13 000 , 14 000,,14 000 ,13 000 , 14 000,,14 000 ,14 000 , 15 000,,15 000 ,14 000 , 15 000,,15 000 ,15 000 , 16 000,
Barbados,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,1100 ,<1000 , 1300,,1200 ,1100 , 1400,,1300 ,1200 , 1500,,1400 ,1300 , 1600,,1500 ,1300 , 1600,,1500 ,1400 , 1700,,1600 ,1400 , 1700,,1600 ,1400 , 1800,,1700 ,1500 , 1800,,1800 ,1600 , 1900,,1800 ,1600 , 2000,,1900 ,1700 , 2100,,2000 ,1800 , 2100,,2000 ,1800 , 2200,,2000 ,1800 , 2200,,2100 ,1900 , 2300,,2100 ,1900 , 2300,,2100 ,1900 , 2300,,2100 ,1900 , 2300,,2100 ,1900 , 2300,,2100 ,1900 , 2400,,2100 ,1900 , 2400,,2100 ,1900 , 2400,,2100 ,1900 , 2400,,2100 ,1900 , 2400,,2100 ,1800 , 2400,,2100 ,1800 , 2400,,2100 ,1800 , 2400,
Belarus,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1300,,1200 ,1000 , 1700,,1600 ,1300 , 2100,,2100 ,1700 , 2700,,2600 ,2100 , 3400,,3300 ,2700 , 4200,,4200 ,3300 , 5200,,5100 ,4100 , 6400,,6300 ,5100 , 7800,,7600 ,6300 , 9300,,9100 ,7600 , 11 000,,11 000 ,9200 , 13 000,,13 000 ,11 000 , 15 000,,14 000 ,12 000 , 18 000,,16 000 ,14 000 , 20 000,,18 000 ,15 000 , 22 000,,20 000 ,17 000 , 24 000,,21 000 ,18 000 , 26 000,,23 000 ,19 000 , 28 000,,24 000 ,20 000 , 29 000,,24 000 ,20 000 , 30 000,,25 000 ,21 000 , 31 000,,26 000 ,21 000 , 32 000,,26 000 ,21 000 , 33 000,,27 000 ,21 000 , 33 000,,27 000 ,22 000 , 34 000,,27 000 ,22 000 , 34 000,,27 000 ,22 000 , 35 000,
Belgium,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belize,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,1000 ,<1000 , 1200,,1200 ,1000 , 1400,,1400 ,1200 , 1500,,1500 ,1300 , 1700,,1700 ,1500 , 1900,,1900 ,1700 , 2100,,2100 ,1900 , 2200,,2200 ,2000 , 2400,,2400 ,2200 , 2600,,2500 ,2300 , 2700,,2700 ,2500 , 2900,,2800 ,2600 , 3000,,2900 ,2700 , 3100,,3000 ,2900 , 3300,,3200 ,3000 , 3400,,3300 ,3000 , 3500,,3300 ,3100 , 3600,,3400 ,3200 , 3600,,3500 ,3200 , 3700,,3500 ,3200 , 3800,,3500 ,3200 , 3800,,3600 ,3200 , 3900,,3600 ,3200 , 3900,,3600 ,3200 , 3900,,3600 ,3200 , 3900,,3600 ,3200 , 4000,
Benin,18 000 ,8000 , 32 000,,22 000 ,11 000 , 37 000,,27 000 ,15 000 , 43 000,,33 000 ,21 000 , 49 000,,38 000 ,26 000 , 53 000,,43 000 ,31 000 , 57 000,,48 000 ,37 000 , 62 000,,53 000 ,43 000 , 66 000,,57 000 ,47 000 , 70 000,,60 000 ,50 000 , 72 000,,63 000 ,53 000 , 74 000,,64 000 ,55 000 , 76 000,,65 000 ,56 000 , 75 000,,66 000 ,57 000 , 76 000,,66 000 ,57 000 , 77 000,,66 000 ,57 000 , 77 000,,66 000 ,56 000 , 76 000,,65 000 ,55 000 , 75 000,,65 000 ,56 000 , 76 000,,67 000 ,57 000 , 78 000,,68 000 ,58 000 , 80 000,,70 000 ,59 000 , 82 000,,71 000 ,60 000 , 83 000,,71 000 ,61 000 , 84 000,,72 000 ,61 000 , 84 000,,71 000 ,61 000 , 84 000,,71 000 ,60 000 , 84 000,,71 000 ,60 000 , 84 000,,71 000 ,60 000 , 84 000,,70 000 ,59 000 , 84 000,,69 000 ,59 000 , 84 000,,69 000 ,58 000 , 84 000,,68 000 ,57 000 , 83 000,,68 000 ,57 000 , 82 000,
Bhutan,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,1000 ,<1000 , 1100,,1000 ,<1000 , 1200,,1100 ,<1000 , 1200,,1100 ,<1000 , 1300,,1200 ,<1000 , 1400,,1200 ,<1000 , 1400,,1200 ,<1000 , 1500,,1300 ,1000 , 1600,
Bolivia (Plurinational State of),2200 ,<1000 , 6900,,3300 ,<1000 , 8400,,5200 ,1200 , 9600,,7500 ,1800 , 12 000,,9100 ,2800 , 13 000,,10 000 ,4100 , 14 000,,11 000 ,5600 , 15 000,,12 000 ,7200 , 15 000,,13 000 ,9100 , 16 000,,14 000 ,11 000 , 17 000,,15 000 ,12 000 , 18 000,,15 000 ,12 000 , 18 000,,16 000 ,13 000 , 19 000,,16 000 ,14 000 , 20 000,,17 000 ,14 000 , 20 000,,17 000 ,15 000 , 21 000,,18 000 ,15 000 , 22 000,,18 000 ,16 000 , 23 000,,19 000 ,16 000 , 23 000,,20 000 ,17 000 , 24 000,,20 000 ,17 000 , 25 000,,21 000 ,18 000 , 25 000,,21 000 ,18 000 , 26 000,,22 000 ,19 000 , 27 000,,23 000 ,19 000 , 27 000,,23 000 ,20 000 , 28 000,,24 000 ,21 000 , 29 000,,25 000 ,22 000 , 30 000,,26 000 ,22 000 , 31 000,,27 000 ,23 000 , 32 000,,28 000 ,24 000 , 33 000,,29 000 ,25 000 , 34 000,,30 000 ,26 000 , 36 000,,31 000 ,27 000 , 37 000,
Bosnia and Herzegovina,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,
Botswana,56 000 ,49 000 , 63 000,,77 000 ,70 000 , 86 000,,100 000 ,94 000 , 110 000,,130 000 ,120 000 , 140 000,,160 000 ,150 000 , 170 000,,190 000 ,180 000 , 200 000,,210 000 ,200 000 , 220 000,,230 000 ,220 000 , 250 000,,250 000 ,240 000 , 270 000,,260 000 ,250 000 , 280 000,,270 000 ,260 000 , 290 000,,280 000 ,270 000 , 300 000,,290 000 ,270 000 , 300 000,,290 000 ,280 000 , 300 000,,290 000 ,280 000 , 310 000,,300 000 ,280 000 , 310 000,,300 000 ,290 000 , 320 000,,310 000 ,290 000 , 320 000,,310 000 ,300 000 , 330 000,,320 000 ,300 000 , 330 000,,320 000 ,310 000 , 340 000,,330 000 ,310 000 , 350 000,,340 000 ,320 000 , 350 000,,340 000 ,320 000 , 360 000,,350 000 ,330 000 , 360 000,,350 000 ,330 000 , 370 000,,360 000 ,340 000 , 370 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,
