Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Comoros,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication."
Congo,65 000 ,50 000 , 82 000,,71 000 ,56 000 , 86 000,,75 000 ,61 000 , 91 000,,79 000 ,65 000 , 95 000,,82 000 ,68 000 , 98 000,,84 000 ,70 000 , 100 000,,86 000 ,72 000 , 100 000,,85 000 ,73 000 , 100 000,,86 000 ,75 000 , 100 000,,86 000 ,75 000 , 100 000,,89 000 ,79 000 , 100 000,,88 000 ,79 000 , 100 000,,87 000 ,78 000 , 100 000,,88 000 ,78 000 , 100 000,,88 000 ,78 000 , 100 000,,88 000 ,79 000 , 100 000,,89 000 ,80 000 , 100 000,,90 000 ,80 000 , 100 000,,91 000 ,80 000 , 100 000,,95 000 ,83 000 , 110 000,,96 000 ,85 000 , 110 000,,98 000 ,85 000 , 110 000,,99 000 ,86 000 , 110 000,,100 000 ,86 000 , 110 000,,100 000 ,86 000 , 120 000,,100 000 ,86 000 , 120 000,,100 000 ,87 000 , 120 000,,110 000 ,88 000 , 130 000,,110 000 ,89 000 , 130 000,,110 000 ,90 000 , 140 000,,120 000 ,90 000 , 140 000,,120 000 ,92 000 , 150 000,,120 000 ,93 000 , 160 000,,130 000 ,94 000 , 160 000,,130 000 ,94 000 , 170 000,
Costa Rica,1400 ,1100 , 1600,,1600 ,1300 , 1800,,1800 ,1500 , 2100,,2000 ,1700 , 2300,,2200 ,1900 , 2400,,2300 ,2000 , 2600,,2500 ,2200 , 2700,,2700 ,2400 , 2900,,2900 ,2600 , 3200,,3100 ,2800 , 3400,,3400 ,3100 , 3700,,3800 ,3400 , 4200,,4300 ,3800 , 4600,,4800 ,4300 , 5200,,5400 ,4800 , 5700,,6000 ,5300 , 6400,,6600 ,5900 , 7100,,7300 ,6500 , 7800,,8000 ,7100 , 8600,,8700 ,7800 , 9300,,9500 ,8500 , 10 000,,10 000 ,9200 , 11 000,,11 000 ,10 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,11 000 , 14 000,,14 000 ,12 000 , 15 000,,14 000 ,13 000 , 16 000,,15 000 ,14 000 , 17 000,,16 000 ,14 000 , 18 000,,17 000 ,15 000 , 19 000,,18 000 ,16 000 , 20 000,,19 000 ,16 000 , 21 000,,20 000 ,17 000 , 22 000,,20 000 ,18 000 , 23 000,,21 000 ,18 000 , 24 000,
Croatia,<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",500 ,<500 , 580,"Children estimates were not available at the time of publication.",560 ,<500 , 640,"Children estimates were not available at the time of publication.",620 ,520 , 710,"Children estimates were not available at the time of publication.",690 ,580 , 780,"Children estimates were not available at the time of publication.",760 ,640 , 850,"Children estimates were not available at the time of publication.",820 ,700 , 920,"Children estimates were not available at the time of publication.",890 ,760 , 1000,"Children estimates were not available at the time of publication.",960 ,820 , 1100,"Children estimates were not available at the time of publication.",1000 ,870 , 1200,"Children estimates were not available at the time of publication.",1100 ,930 , 1200,"Children estimates were not available at the time of publication.",1200 ,990 , 1300,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1200 , 1700,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1800 ,1500 , 2000,"Children estimates were not available at the time of publication.",1800 ,1500 , 2000,"Children estimates were not available at the time of publication.",1800 ,1500 , 2100,"Children estimates were not available at the time of publication."
Cuba,780 ,<500 , 1200,,910 ,600 , 1300,,1000 ,690 , 1400,,1100 ,780 , 1600,,1200 ,860 , 1700,,1400 ,990 , 1900,,1600 ,1200 , 2200,,2100 ,1600 , 2700,,2700 ,2100 , 3300,,3500 ,2800 , 4300,,4600 ,3700 , 5400,,5900 ,4900 , 6800,,7400 ,6200 , 8500,,9100 ,7700 , 10 000,,11 000 ,9300 , 12 000,,13 000 ,11 000 , 14 000,,15 000 ,13 000 , 16 000,,16 000 ,14 000 , 18 000,,18 000 ,16 000 , 20 000,,20 000 ,17 000 , 22 000,,22 000 ,19 000 , 24 000,,24 000 ,21 000 , 26 000,,25 000 ,22 000 , 28 000,,27 000 ,23 000 , 30 000,,28 000 ,25 000 , 32 000,,30 000 ,26 000 , 33 000,,32 000 ,27 000 , 35 000,,33 000 ,29 000 , 37 000,,35 000 ,30 000 , 39 000,,36 000 ,31 000 , 40 000,,38 000 ,32 000 , 42 000,,39 000 ,34 000 , 43 000,,40 000 ,35 000 , 45 000,,41 000 ,36 000 , 46 000,,43 000 ,37 000 , 48 000,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Côte d'Ivoire,330 000 ,220 000 , 500 000,,410 000 ,280 000 , 580 000,,480 000 ,350 000 , 650 000,,550 000 ,420 000 , 710 000,,610 000 ,490 000 , 760 000,,650 000 ,540 000 , 780 000,,690 000 ,590 000 , 820 000,,720 000 ,620 000 , 830 000,,730 000 ,640 000 , 840 000,,740 000 ,650 000 , 840 000,,730 000 ,650 000 , 820 000,,720 000 ,640 000 , 800 000,,700 000 ,620 000 , 790 000,,670 000 ,600 000 , 760 000,,650 000 ,570 000 , 730 000,,620 000 ,550 000 , 700 000,,600 000 ,530 000 , 670 000,,570 000 ,510 000 , 640 000,,560 000 ,490 000 , 620 000,,540 000 ,480 000 , 600 000,,530 000 ,470 000 , 590 000,,520 000 ,460 000 , 580 000,,500 000 ,450 000 , 570 000,,490 000 ,440 000 , 550 000,,480 000 ,430 000 , 540 000,,460 000 ,420 000 , 520 000,,460 000 ,410 000 , 520 000,,450 000 ,400 000 , 510 000,,440 000 ,390 000 , 500 000,,430 000 ,380 000 , 500 000,,430 000 ,380 000 , 500 000,,420 000 ,370 000 , 490 000,,420 000 ,370 000 , 490 000,,410 000 ,360 000 , 480 000,,410 000 ,360 000 , 480 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,460 000 ,350 000 , 610 000,,510 000 ,400 000 , 680 000,,560 000 ,430 000 , 740 000,,610 000 ,470 000 , 790 000,,670 000 ,520 000 , 860 000,,690 000 ,540 000 , 870 000,,690 000 ,550 000 , 880 000,,700 000 ,550 000 , 880 000,,710 000 ,560 000 , 890 000,,710 000 ,570 000 , 880 000,,710 000 ,560 000 , 870 000,,700 000 ,570 000 , 870 000,,700 000 ,560 000 , 860 000,,690 000 ,560 000 , 840 000,,680 000 ,550 000 , 820 000,,670 000 ,550 000 , 810 000,,660 000 ,550 000 , 800 000,,650 000 ,540 000 , 780 000,,630 000 ,540 000 , 760 000,,620 000 ,530 000 , 740 000,,610 000 ,530 000 , 730 000,,600 000 ,520 000 , 710 000,,590 000 ,510 000 , 700 000,,590 000 ,510 000 , 690 000,,580 000 ,500 000 , 680 000,,570 000 ,490 000 , 680 000,,570 000 ,490 000 , 670 000,,570 000 ,500 000 , 680 000,,580 000 ,500 000 , 680 000,,580 000 ,500 000 , 680 000,,580 000 ,500 000 , 690 000,,590 000 ,500 000 , 700 000,,600 000 ,500 000 , 710 000,,610 000 ,500 000 , 730 000,,610 000 ,500 000 , 750 000,
Denmark,2500 ,2100 , 2900,"Children estimates were not available at the time of publication.",2700 ,2300 , 3100,"Children estimates were not available at the time of publication.",2800 ,2400 , 3200,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",3000 ,2600 , 3400,"Children estimates were not available at the time of publication.",3100 ,2700 , 3500,"Children estimates were not available at the time of publication.",3200 ,2800 , 3500,"Children estimates were not available at the time of publication.",3400 ,2900 , 3700,"Children estimates were not available at the time of publication.",3600 ,3100 , 4000,"Children estimates were not available at the time of publication.",3800 ,3300 , 4200,"Children estimates were not available at the time of publication.",4100 ,3500 , 4400,"Children estimates were not available at the time of publication.",4300 ,3700 , 4700,"Children estimates were not available at the time of publication.",4500 ,3800 , 4900,"Children estimates were not available at the time of publication.",4600 ,4000 , 5100,"Children estimates were not available at the time of publication.",4800 ,4100 , 5300,"Children estimates were not available at the time of publication.",4900 ,4200 , 5400,"Children estimates were not available at the time of publication.",5000 ,4300 , 5600,"Children estimates were not available at the time of publication.",5100 ,4400 , 5700,"Children estimates were not available at the time of publication.",5200 ,4600 , 5900,"Children estimates were not available at the time of publication.",5400 ,4700 , 6000,"Children estimates were not available at the time of publication.",5500 ,4800 , 6100,"Children estimates were not available at the time of publication.",5600 ,4900 , 6300,"Children estimates were not available at the time of publication.",5700 ,4900 , 6400,"Children estimates were not available at the time of publication.",5800 ,5000 , 6400,"Children estimates were not available at the time of publication.",5900 ,5100 , 6600,"Children estimates were not available at the time of publication.",6000 ,5100 , 6700,"Children estimates were not available at the time of publication.",6000 ,5200 , 6700,"Children estimates were not available at the time of publication.",6100 ,5200 , 6800,"Children estimates were not available at the time of publication.",6100 ,5200 , 6900,"Children estimates were not available at the time of publication.",6200 ,5300 , 6900,"Children estimates were not available at the time of publication.",6200 ,5300 , 6900,"Children estimates were not available at the time of publication.",6200 ,5300 , 7000,"Children estimates were not available at the time of publication.",6200 ,5300 , 7000,"Children estimates were not available at the time of publication.",6200 ,5400 , 7000,"Children estimates were not available at the time of publication.",6200 ,5300 , 7100,"Children estimates were not available at the time of publication."
Djibouti,3000 ,1700 , 4800,,4300 ,2500 , 6600,,5300 ,3200 , 7900,,6800 ,4100 , 9800,,8000 ,5000 , 11 000,,9400 ,6300 , 13 000,,11 000 ,7600 , 14 000,,12 000 ,9200 , 16 000,,14 000 ,10 000 , 18 000,,15 000 ,11 000 , 19 000,,16 000 ,13 000 , 21 000,,17 000 ,13 000 , 22 000,,18 000 ,14 000 , 23 000,,18 000 ,14 000 , 23 000,,18 000 ,14 000 , 23 000,,17 000 ,14 000 , 22 000,,17 000 ,14 000 , 22 000,,17 000 ,13 000 , 22 000,,17 000 ,13 000 , 21 000,,16 000 ,12 000 , 21 000,,16 000 ,12 000 , 20 000,,15 000 ,11 000 , 19 000,,15 000 ,11 000 , 19 000,,14 000 ,10 000 , 18 000,,13 000 ,9700 , 17 000,,13 000 ,9300 , 16 000,,12 000 ,8800 , 16 000,,11 000 ,8200 , 15 000,,11 000 ,7800 , 14 000,,10 000 ,7400 , 14 000,,10 000 ,7200 , 13 000,,9600 ,6900 , 13 000,,9200 ,6700 , 12 000,,8900 ,6600 , 12 000,,8600 ,6300 , 12 000,
Dominica,<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,18 000 ,12 000 , 34 000,,26 000 ,17 000 , 41 000,,34 000 ,23 000 , 50 000,,42 000 ,30 000 , 60 000,,51 000 ,37 000 , 68 000,,58 000 ,43 000 , 74 000,,63 000 ,48 000 , 79 000,,67 000 ,53 000 , 83 000,,70 000 ,57 000 , 87 000,,73 000 ,60 000 , 89 000,,74 000 ,63 000 , 90 000,,75 000 ,65 000 , 89 000,,76 000 ,66 000 , 89 000,,76 000 ,66 000 , 88 000,,76 000 ,65 000 , 87 000,,75 000 ,64 000 , 86 000,,75 000 ,64 000 , 85 000,,74 000 ,64 000 , 84 000,,74 000 ,64 000 , 84 000,,75 000 ,64 000 , 85 000,,75 000 ,65 000 , 85 000,,75 000 ,65 000 , 85 000,,75 000 ,65 000 , 85 000,,75 000 ,66 000 , 85 000,,75 000 ,66 000 , 85 000,,75 000 ,65 000 , 85 000,,75 000 ,64 000 , 86 000,,76 000 ,64 000 , 87 000,,77 000 ,64 000 , 88 000,,78 000 ,64 000 , 90 000,,79 000 ,64 000 , 93 000,,81 000 ,64 000 , 95 000,,82 000 ,64 000 , 96 000,,84 000 ,64 000 , 98 000,,85 000 ,65 000 , 99 000,
Ecuador,4200 ,2300 , 7800,,5500 ,3100 , 10 000,,7200 ,4100 , 13 000,,9100 ,5400 , 15 000,,11 000 ,6800 , 18 000,,14 000 ,8800 , 20 000,,16 000 ,11 000 , 22 000,,18 000 ,13 000 , 25 000,,20 000 ,15 000 , 27 000,,22 000 ,17 000 , 28 000,,24 000 ,19 000 , 30 000,,26 000 ,21 000 , 31 000,,27 000 ,22 000 , 32 000,,28 000 ,23 000 , 33 000,,29 000 ,25 000 , 34 000,,30 000 ,26 000 , 35 000,,31 000 ,27 000 , 36 000,,32 000 ,28 000 , 37 000,,33 000 ,29 000 , 38 000,,34 000 ,31 000 , 40 000,,35 000 ,32 000 , 41 000,,37 000 ,33 000 , 42 000,,38 000 ,34 000 , 43 000,,39 000 ,35 000 , 44 000,,40 000 ,36 000 , 45 000,,41 000 ,37 000 , 46 000,,42 000 ,38 000 , 48 000,,43 000 ,39 000 , 49 000,,45 000 ,40 000 , 50 000,,46 000 ,42 000 , 52 000,,47 000 ,42 000 , 53 000,,49 000 ,43 000 , 55 000,,50 000 ,44 000 , 56 000,,51 000 ,45 000 , 58 000,,52 000 ,46 000 , 60 000,
Egypt,5500 ,3600 , 9000,,6500 ,4200 , 11 000,,7400 ,4700 , 12 000,,8200 ,5300 , 13 000,,9100 ,5800 , 14 000,,9900 ,6400 , 15 000,,11 000 ,7100 , 16 000,,11 000 ,7900 , 17 000,,12 000 ,8400 , 17 000,,13 000 ,8900 , 18 000,,14 000 ,9600 , 19 000,,14 000 ,10 000 , 19 000,,15 000 ,11 000 , 19 000,,15 000 ,11 000 , 20 000,,16 000 ,12 000 , 20 000,,17 000 ,13 000 , 21 000,,17 000 ,13 000 , 22 000,,18 000 ,14 000 , 23 000,,19 000 ,15 000 , 24 000,,20 000 ,15 000 , 25 000,,21 000 ,16 000 , 27 000,,22 000 ,17 000 , 28 000,,23 000 ,18 000 , 30 000,,24 000 ,19 000 , 32 000,,26 000 ,20 000 , 34 000,,27 000 ,21 000 , 37 000,,29 000 ,22 000 , 39 000,,31 000 ,24 000 , 42 000,,34 000 ,26 000 , 45 000,,37 000 ,28 000 , 49 000,,40 000 ,30 000 , 54 000,,43 000 ,32 000 , 58 000,,47 000 ,35 000 , 63 000,,51 000 ,38 000 , 70 000,,56 000 ,41 000 , 77 000,
