Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Bahamas,30 ,28 , 33,"Children estimates were not available at the time of publication.",30 ,28 , 33,"Children estimates were not available at the time of publication.",38 ,35 , 41,"Children estimates were not available at the time of publication.",46 ,42 , 50,"Children estimates were not available at the time of publication.",55 ,50 , 59,"Children estimates were not available at the time of publication.",54 ,49 , 59,"Children estimates were not available at the time of publication.",54 ,49 , 58,"Children estimates were not available at the time of publication.",70 ,64 , 77,"Children estimates were not available at the time of publication.",74 ,67 , 81,"Children estimates were not available at the time of publication.",72 ,65 , 79,"Children estimates were not available at the time of publication.",72 ,65 , 79,"Children estimates were not available at the time of publication.",74 ,66 , 82,"Children estimates were not available at the time of publication.",74 ,66 , 82,"Children estimates were not available at the time of publication.",70 ,62 , 78,"Children estimates were not available at the time of publication.",74 ,66 , 84,"Children estimates were not available at the time of publication."
Bahrain,24 ,21 , 28,"Children estimates were not available at the time of publication.",28 ,25 , 32,"Children estimates were not available at the time of publication.",30 ,26 , 34,"Children estimates were not available at the time of publication.",31 ,27 , 35,"Children estimates were not available at the time of publication.",33 ,29 , 37,"Children estimates were not available at the time of publication.",35 ,31 , 39,"Children estimates were not available at the time of publication.",33 ,29 , 37,"Children estimates were not available at the time of publication.",35 ,32 , 39,"Children estimates were not available at the time of publication.",46 ,41 , 51,"Children estimates were not available at the time of publication.",59 ,53 , 66,"Children estimates were not available at the time of publication.",64 ,57 , 72,"Children estimates were not available at the time of publication.",55 ,48 , 62,"Children estimates were not available at the time of publication.",49 ,43 , 56,"Children estimates were not available at the time of publication.",53 ,46 , 62,"Children estimates were not available at the time of publication.",55 ,47 , 64,"Children estimates were not available at the time of publication."
Bangladesh,6 ,5 , 7,,8 ,7 , 9,,9 ,8 , 10,,11 ,10 , 13,,12 ,11 , 14,,13 ,12 , 15,,15 ,14 , 17,,20 ,18 , 21,,23 ,21 , 25,,24 ,22 , 26,,29 ,27 , 32,,30 ,28 , 33,,33 ,31 , 36,,38 ,35 , 42,,41 ,38 , 45,
Barbados,38 ,35 , 41,"Children estimates were not available at the time of publication.",40 ,36 , 43,"Children estimates were not available at the time of publication.",43 ,39 , 46,"Children estimates were not available at the time of publication.",45 ,41 , 49,"Children estimates were not available at the time of publication.",46 ,41 , 50,"Children estimates were not available at the time of publication.",47 ,42 , 52,"Children estimates were not available at the time of publication.",50 ,44 , 54,"Children estimates were not available at the time of publication.",53 ,47 , 58,"Children estimates were not available at the time of publication.",55 ,48 , 60,"Children estimates were not available at the time of publication.",58 ,51 , 64,"Children estimates were not available at the time of publication.",57 ,50 , 64,"Children estimates were not available at the time of publication.",59 ,51 , 65,"Children estimates were not available at the time of publication.",57 ,50 , 63,"Children estimates were not available at the time of publication.",59 ,51 , 65,"Children estimates were not available at the time of publication.",60 ,53 , 67,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,78 ,74 , 82,,83 ,78 , 87,,80 ,76 , 84,,83 ,78 , 87,,84 ,79 , 89,,87 ,81 , 91,,88 ,82 , 93,,89 ,84 , 94,,90 ,84 , 95,,88 ,82 , 93,,87 ,81 , 93,,88 ,81 , 94,,88 ,81 , 96,,88 ,81 , 96,,... ,... , ...,
Belize,26 ,24 , 28,"Children estimates were not available at the time of publication.",30 ,27 , 32,"Children estimates were not available at the time of publication.",31 ,28 , 33,"Children estimates were not available at the time of publication.",34 ,31 , 36,"Children estimates were not available at the time of publication.",33 ,31 , 36,"Children estimates were not available at the time of publication.",36 ,33 , 39,"Children estimates were not available at the time of publication.",38 ,35 , 41,"Children estimates were not available at the time of publication.",38 ,35 , 41,"Children estimates were not available at the time of publication.",41 ,38 , 44,"Children estimates were not available at the time of publication.",42 ,38 , 45,"Children estimates were not available at the time of publication.",41 ,38 , 44,"Children estimates were not available at the time of publication.",42 ,39 , 45,"Children estimates were not available at the time of publication.",44 ,41 , 47,"Children estimates were not available at the time of publication.",47 ,43 , 50,"Children estimates were not available at the time of publication.",50 ,45 , 54,"Children estimates were not available at the time of publication."
Benin,30 ,26 , 35,,37 ,33 , 43,,40 ,35 , 46,,35 ,31 , 41,,40 ,35 , 47,,36 ,32 , 43,,34 ,30 , 40,,53 ,47 , 63,,57 ,50 , 67,,63 ,55 , 74,,71 ,61 , 83,,79 ,68 , 93,,85 ,74 , >98,,81 ,69 , 95,,87 ,76 , >98,
Bhutan,15 ,13 , 18,"Children estimates were not available at the time of publication.",19 ,16 , 22,"Children estimates were not available at the time of publication.",25 ,21 , 29,"Children estimates were not available at the time of publication.",30 ,26 , 35,"Children estimates were not available at the time of publication.",35 ,30 , 40,"Children estimates were not available at the time of publication.",44 ,38 , 52,"Children estimates were not available at the time of publication.",49 ,42 , 57,"Children estimates were not available at the time of publication.",58 ,49 , 68,"Children estimates were not available at the time of publication.",64 ,54 , 75,"Children estimates were not available at the time of publication.",62 ,53 , 73,"Children estimates were not available at the time of publication.",63 ,53 , 74,"Children estimates were not available at the time of publication.",64 ,54 , 75,"Children estimates were not available at the time of publication.",65 ,55 , 77,"Children estimates were not available at the time of publication.",68 ,57 , 79,"Children estimates were not available at the time of publication.",70 ,59 , 82,"Children estimates were not available at the time of publication."
Bolivia (Plurinational State of),6 ,5 , 7,,6 ,5 , 7,,11 ,9 , 13,,13 ,11 , 16,,16 ,14 , 20,,23 ,19 , 27,,27 ,23 , 32,,32 ,27 , 39,,38 ,32 , 46,,43 ,36 , 51,,46 ,39 , 55,,50 ,43 , 60,,51 ,44 , 61,,57 ,48 , 67,,60 ,51 , 71,
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Botswana,49 ,46 , 51,,54 ,51 , 56,,61 ,57 , 64,,65 ,61 , 68,,67 ,63 , 70,,72 ,68 , 76,,76 ,72 , 80,,79 ,75 , 83,,84 ,80 , 89,,86 ,81 , 90,,89 ,84 , 93,,92 ,87 , 97,,93 ,88 , 98,,94 ,89 , >98,,95 ,89 , >98,
Brazil,50 ,46 , 53,,51 ,47 , 54,,53 ,49 , 56,,56 ,51 , 59,,59 ,54 , 62,,63 ,58 , 67,,64 ,59 , 69,,66 ,61 , 71,,68 ,62 , 73,,69 ,63 , 74,,68 ,62 , 73,,69 ,63 , 74,,69 ,63 , 74,,71 ,64 , 76,,73 ,66 , 78,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,19 ,16 , 22,"Children estimates were not available at the time of publication.",22 ,18 , 25,"Children estimates were not available at the time of publication.",25 ,21 , 28,"Children estimates were not available at the time of publication.",28 ,24 , 32,"Children estimates were not available at the time of publication.",31 ,26 , 34,"Children estimates were not available at the time of publication.",34 ,29 , 38,"Children estimates were not available at the time of publication.",38 ,32 , 42,"Children estimates were not available at the time of publication.",44 ,37 , 49,"Children estimates were not available at the time of publication.",51 ,43 , 57,"Children estimates were not available at the time of publication.",55 ,46 , 61,"Children estimates were not available at the time of publication.",56 ,47 , 62,"Children estimates were not available at the time of publication.",57 ,48 , 64,"Children estimates were not available at the time of publication.",60 ,51 , 67,"Children estimates were not available at the time of publication.",61 ,52 , 68,"Children estimates were not available at the time of publication.",62 ,52 , 69,"Children estimates were not available at the time of publication."
Burkina Faso,29 ,25 , 34,,34 ,30 , 40,,37 ,32 , 43,,41 ,35 , 48,,47 ,40 , 54,,53 ,46 , 61,,58 ,50 , 67,,64 ,55 , 73,,62 ,54 , 72,,72 ,62 , 83,,66 ,57 , 76,,71 ,61 , 82,,76 ,65 , 88,,79 ,68 , 92,,82 ,70 , 95,
Burundi,23 ,21 , 27,,28 ,25 , 32,,31 ,28 , 36,,36 ,32 , 41,,41 ,37 , 47,,49 ,43 , 56,,61 ,55 , 71,,69 ,61 , 80,,75 ,67 , 87,,83 ,74 , 96,,86 ,77 , >98,,88 ,79 , >98,,90 ,81 , >98,,91 ,82 , >98,,93 ,84 , >98,
Cabo Verde,32 ,28 , 37,,35 ,31 , 41,,42 ,37 , 49,,49 ,43 , 57,,53 ,47 , 62,,52 ,46 , 62,,53 ,46 , 62,,60 ,52 , 70,,68 ,59 , 81,,71 ,62 , 84,,76 ,65 , 90,,81 ,69 , 97,,79 ,66 , 95,,77 ,63 , 93,,80 ,66 , >98,
Cambodia,50 ,45 , 56,,54 ,48 , 61,,57 ,50 , 64,,60 ,53 , 67,,63 ,55 , 71,,66 ,58 , 75,,69 ,61 , 79,,72 ,63 , 82,,76 ,66 , 86,,79 ,69 , 91,,81 ,70 , 92,,81 ,70 , 93,,84 ,72 , 98,,88 ,74 , >98,,92 ,76 , >98,
Cameroon,15 ,14 , 16,,18 ,17 , 19,,21 ,19 , 23,,23 ,21 , 25,,25 ,23 , 27,,30 ,27 , 32,,37 ,34 , 40,,46 ,42 , 50,,53 ,48 , 58,,59 ,54 , 64,,66 ,60 , 73,,73 ,67 , 82,,80 ,73 , 90,,85 ,77 , 96,,88 ,80 , >98,
Canada,46 ,39 , 52,,48 ,40 , 54,,49 ,41 , 55,,63 ,53 , 71,,67 ,56 , 75,,70 ,58 , 79,,73 ,61 , 83,,74 ,62 , 84,,75 ,62 , 86,,77 ,64 , 87,,79 ,65 , 90,,78 ,64 , 89,,76 ,63 , 87,,... ,... , ...,,... ,... , ...,
Central African Republic,11 ,9 , 12,,11 ,9 , 12,,13 ,11 , 15,,13 ,11 , 15,,21 ,18 , 24,,24 ,20 , 28,,29 ,24 , 34,,34 ,28 , 40,,37 ,31 , 45,,45 ,37 , 55,,49 ,40 , 61,,55 ,45 , 70,,60 ,49 , 77,,63 ,50 , 81,,66 ,52 , 87,
Chad,16 ,13 , 19,,19 ,16 , 23,,22 ,18 , 27,,25 ,21 , 30,,28 ,23 , 33,,31 ,26 , 37,,34 ,28 , 40,,37 ,31 , 44,,40 ,33 , 48,,42 ,35 , 50,,47 ,39 , 55,,51 ,42 , 61,,54 ,45 , 64,,58 ,48 , 70,,65 ,54 , 79,
Chile,40 ,36 , 43,,41 ,36 , 44,,47 ,41 , 50,,51 ,45 , 55,,55 ,48 , 59,,57 ,50 , 61,,62 ,54 , 67,,69 ,61 , 75,,74 ,65 , 80,,76 ,66 , 82,,76 ,67 , 83,,75 ,66 , 82,,76 ,66 , 82,,75 ,65 , 81,,71 ,62 , 77,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,16 ,13 , 19,,23 ,19 , 28,,27 ,23 , 32,,32 ,26 , 38,,35 ,29 , 43,,41 ,34 , 50,,45 ,37 , 56,,45 ,37 , 56,,50 ,41 , 63,,58 ,47 , 74,,61 ,49 , 78,,60 ,48 , 78,,63 ,51 , 83,,66 ,52 , 87,,... ,... , ...,
Comoros,17 ,9 , 32,"Children estimates were not available at the time of publication.",18 ,10 , 34,"Children estimates were not available at the time of publication.",21 ,13 , 42,"Children estimates were not available at the time of publication.",23 ,13 , 46,"Children estimates were not available at the time of publication.",24 ,14 , 49,"Children estimates were not available at the time of publication.",31 ,19 , 65,"Children estimates were not available at the time of publication.",34 ,20 , 71,"Children estimates were not available at the time of publication.",37 ,23 , 79,"Children estimates were not available at the time of publication.",43 ,27 , 92,"Children estimates were not available at the time of publication.",54 ,33 , >98,"Children estimates were not available at the time of publication.",57 ,34 , >98,"Children estimates were not available at the time of publication.",58 ,35 , >98,"Children estimates were not available at the time of publication.",62 ,36 , >98,"Children estimates were not available at the time of publication.",68 ,40 , >98,"Children estimates were not available at the time of publication.",84 ,49 , >98,"Children estimates were not available at the time of publication."
Congo,15 ,14 , 17,,17 ,15 , 19,,17 ,15 , 20,,20 ,17 , 22,,19 ,16 , 22,,20 ,17 , 23,,21 ,18 , 25,,22 ,18 , 26,,23 ,19 , 28,,23 ,19 , 28,,24 ,19 , 29,,25 ,19 , 31,,28 ,21 , 35,,30 ,22 , 38,,34 ,24 , 44,
Costa Rica,35 ,32 , 38,,36 ,32 , 39,,35 ,32 , 38,,36 ,32 , 39,,37 ,33 , 40,,41 ,37 , 45,,43 ,38 , 47,,46 ,41 , 50,,50 ,44 , 55,,53 ,47 , 59,,52 ,45 , 57,,59 ,52 , 65,,61 ,53 , 67,,62 ,54 , 69,,62 ,53 , 69,
Croatia,43 ,36 , 48,"Children estimates were not available at the time of publication.",46 ,39 , 52,"Children estimates were not available at the time of publication.",49 ,41 , 55,"Children estimates were not available at the time of publication.",53 ,44 , 60,"Children estimates were not available at the time of publication.",56 ,47 , 64,"Children estimates were not available at the time of publication.",63 ,53 , 71,"Children estimates were not available at the time of publication.",68 ,57 , 78,"Children estimates were not available at the time of publication.",72 ,60 , 81,"Children estimates were not available at the time of publication.",73 ,62 , 83,"Children estimates were not available at the time of publication.",76 ,64 , 86,"Children estimates were not available at the time of publication.",77 ,64 , 87,"Children estimates were not available at the time of publication.",78 ,65 , 89,"Children estimates were not available at the time of publication.",82 ,69 , 93,"Children estimates were not available at the time of publication.",83 ,70 , 95,"Children estimates were not available at the time of publication.",85 ,71 , 97,"Children estimates were not available at the time of publication."
Cuba,27 ,24 , 30,,32 ,28 , 35,,35 ,30 , 39,,38 ,33 , 42,,44 ,39 , 49,,51 ,44 , 56,,55 ,47 , 60,,59 ,51 , 65,,63 ,55 , 71,,68 ,59 , 76,,66 ,57 , 74,,67 ,58 , 74,,70 ,60 , 78,,69 ,59 , 77,,68 ,59 , 76,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Côte d'Ivoire,15 ,14 , 17,,19 ,17 , 21,,22 ,20 , 25,,25 ,23 , 28,,30 ,27 , 33,,34 ,31 , 38,,42 ,37 , 47,,52 ,46 , 59,,57 ,51 , 66,,62 ,55 , 72,,66 ,58 , 76,,69 ,61 , 80,,70 ,62 , 82,,74 ,65 , 87,,78 ,68 , 92,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,7 ,6 , 8,,9 ,8 , 10,,11 ,10 , 13,,14 ,12 , 16,,18 ,15 , 21,,21 ,18 , 25,,27 ,24 , 32,,37 ,32 , 44,,36 ,31 , 43,,40 ,35 , 48,,53 ,45 , 62,,62 ,52 , 73,,67 ,57 , 81,,73 ,61 , 89,,71 ,59 , 87,
Denmark,65 ,57 , 73,"Children estimates were not available at the time of publication.",69 ,60 , 78,"Children estimates were not available at the time of publication.",73 ,64 , 82,"Children estimates were not available at the time of publication.",73 ,64 , 82,"Children estimates were not available at the time of publication.",80 ,69 , 89,"Children estimates were not available at the time of publication.",80 ,69 , 90,"Children estimates were not available at the time of publication.",82 ,71 , 91,"Children estimates were not available at the time of publication.",83 ,71 , 93,"Children estimates were not available at the time of publication.",85 ,72 , 95,"Children estimates were not available at the time of publication.",86 ,74 , 97,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",91 ,78 , >98,"Children estimates were not available at the time of publication.",92 ,79 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Djibouti,6 ,5 , 8,,7 ,5 , 9,,9 ,7 , 11,,10 ,7 , 13,,12 ,9 , 16,,16 ,12 , 20,,19 ,14 , 25,,22 ,16 , 29,,25 ,18 , 33,,19 ,13 , 25,,21 ,15 , 27,,20 ,14 , 26,,22 ,16 , 30,,26 ,19 , 35,,25 ,18 , 33,
