Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Bahamas,<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",-39,"Children estimates were not available at the time of publication."
Bahrain,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-32,"Children estimates were not available at the time of publication."
Bangladesh,,<500 , <500,,,<500 , <500,,,<500 , <500,,,<500 , <500,,,<500 , 520,,,<500 , 560,,,<500 , 600,,,<500 , 600,,,<500 , 610,,,<500 , 660,,,<500 , 680,,,<500 , 690,,,520 , 720,,,<500 , 690,,,<500 , 660,,77,
Barbados,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",8,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Belgium,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,-25,
Belize,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",17,"Children estimates were not available at the time of publication."
Benin,2100 ,1800 , 2600,,2100 ,1700 , 2600,,2000 ,1600 , 2500,,1900 ,1500 , 2600,,2100 ,1600 , 2900,,2000 ,1500 , 2700,,2000 ,1400 , 2900,,2100 ,1500 , 2900,,1800 ,1400 , 2400,,1800 ,1400 , 2300,,1600 ,1200 , 2000,,1500 ,1200 , 2000,,1500 ,1100 , 1900,,1400 ,1000 , 1700,,1300 ,970 , 1700,,-38,
Bhutan,,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",,<100 , <100,", Children estimates were not available at the time of publication.",-18,"Children estimates were not available at the time of publication."
Bolivia (Plurinational State of),1400 ,1100 , 1700,,1400 ,1100 , 1800,,1400 ,1100 , 1800,,1300 ,1000 , 1700,,1300 ,990 , 1700,,1200 ,900 , 1600,,1100 ,800 , 1500,,1000 ,720 , 1400,,890 ,610 , 1300,,790 ,520 , 1200,,740 ,<500 , 1100,,690 ,<500 , 1000,,650 ,<500 , 1000,,610 ,<500 , 930,,530 ,<500 , 820,,-61,
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Botswana,6100 ,5400 , 7000,,5700 ,4900 , 6500,,5200 ,4500 , 6100,,5000 ,4400 , 5900,,4800 ,4100 , 5700,,4800 ,4100 , 5700,,4800 ,4100 , 5700,,4500 ,3900 , 5400,,4600 ,3900 , 5400,,4500 ,3800 , 5300,,4400 ,3700 , 5200,,4300 ,3600 , 5000,,4000 ,3400 , 4700,,3900 ,3200 , 4500,,3800 ,3100 , 4400,,-38,
Brazil,14 000 ,12 000 , 16 000,,13 000 ,11 000 , 15 000,,13 000 ,10 000 , 14 000,,12 000 ,10 000 , 14 000,,13 000 ,11 000 , 15 000,,14 000 ,11 000 , 16 000,,13 000 ,10 000 , 14 000,,12 000 ,9600 , 14 000,,12 000 ,9300 , 14 000,,11 000 ,9000 , 14 000,,11 000 ,8900 , 14 000,,12 000 ,9200 , 14 000,,12 000 ,9300 , 15 000,,12 000 ,9400 , 15 000,,12 000 ,9500 , 15 000,,-14,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Bulgaria,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-48,"Children estimates were not available at the time of publication."
Burkina Faso,5500 ,4200 , 6800,,5000 ,3800 , 6300,,4800 ,3600 , 6000,,4500 ,3400 , 5700,,4300 ,3300 , 5400,,4000 ,3100 , 5100,,3700 ,2900 , 4600,,3500 ,2700 , 4300,,3200 ,2500 , 4000,,3100 ,2400 , 3900,,2800 ,2100 , 3500,,2700 ,2000 , 3500,,2500 ,1900 , 3400,,2300 ,1800 , 3100,,2100 ,1600 , 2900,,-61,
Burundi,5800 ,4700 , 7100,,5000 ,4100 , 6300,,4500 ,3500 , 5700,,4200 ,3300 , 5400,,3800 ,2900 , 5000,,3300 ,2400 , 4400,,2600 ,1900 , 3700,,2100 ,1500 , 3000,,1700 ,1300 , 2600,,1500 ,1200 , 2300,,1400 ,1000 , 2100,,1300 ,960 , 2000,,1200 ,920 , 1900,,1200 ,900 , 1900,,1100 ,860 , 1800,,-81,
Cabo Verde,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,-23,
Cambodia,1400 ,1100 , 1800,,1300 ,1000 , 1700,,1400 ,1000 , 1900,,1600 ,1100 , 2100,,1700 ,1200 , 2300,,1800 ,1200 , 2400,,1700 ,1200 , 2300,,1600 ,1100 , 2200,,1500 ,990 , 2000,,1400 ,880 , 2000,,1300 ,810 , 1800,,1200 ,760 , 1700,,1200 ,700 , 1700,,1100 ,650 , 1600,,1000 ,590 , 1500,,-28,
Cameroon,31 000 ,27 000 , 36 000,,31 000 ,27 000 , 36 000,,29 000 ,26 000 , 35 000,,29 000 ,26 000 , 35 000,,30 000 ,26 000 , 35 000,,29 000 ,25 000 , 34 000,,26 000 ,23 000 , 31 000,,23 000 ,20 000 , 27 000,,20 000 ,17 000 , 24 000,,18 000 ,15 000 , 22 000,,16 000 ,13 000 , 20 000,,14 000 ,12 000 , 17 000,,12 000 ,10 000 , 15 000,,10 000 ,8600 , 13 000,,9400 ,7700 , 12 000,,-69,
Canada,720 ,530 , 890,,810 ,590 , 1000,,910 ,640 , 1200,,550 ,<500 , 690,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,... ,... , ...,,... ,... , ...,,...,
Central African Republic,9600 ,7800 , 11 000,,9700 ,8000 , 12 000,,9600 ,7900 , 11 000,,9200 ,7500 , 11 000,,8400 ,6700 , 10 000,,6900 ,5500 , 8400,,6100 ,4800 , 7600,,5700 ,4400 , 7300,,5400 ,4100 , 6900,,4800 ,3600 , 6300,,4200 ,3000 , 5700,,3700 ,2600 , 5200,,3300 ,2300 , 4700,,2900 ,2000 , 4300,,2700 ,1800 , 4200,,-72,
Chad,7300 ,5200 , 9700,,7100 ,4900 , 9500,,6900 ,4700 , 9100,,6500 ,4600 , 8700,,6300 ,4400 , 8300,,6200 ,4300 , 8100,,5900 ,4100 , 7700,,5600 ,4000 , 7500,,5300 ,3700 , 7100,,5100 ,3600 , 6800,,4700 ,3300 , 6400,,4300 ,3000 , 6000,,4000 ,2800 , 5700,,3700 ,2600 , 5200,,3500 ,2400 , 4800,,-52,
Chile,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,...,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Colombia,7800 ,5900 , 10 000,,6700 ,5000 , 9000,,6000 ,4300 , 8100,,5700 ,3900 , 7700,,5400 ,3600 , 7600,,4900 ,3200 , 7100,,4500 ,2900 , 6600,,4700 ,2800 , 7100,,4600 ,2700 , 7200,,3800 ,2200 , 6100,,3200 ,1800 , 5500,,3300 ,1700 , 5800,,3400 ,1700 , 6100,,3100 ,1600 , 5700,,... ,... , ...,,...,
Comoros,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-47,"Children estimates were not available at the time of publication."
Congo,5800 ,4800 , 6800,,5700 ,4700 , 6700,,6000 ,4900 , 7000,,6200 ,5100 , 7200,,6400 ,5200 , 7400,,6600 ,5400 , 7600,,6600 ,5300 , 7700,,6600 ,5300 , 7800,,6700 ,5300 , 7900,,6700 ,5300 , 8300,,6800 ,5200 , 8600,,6800 ,5100 , 8700,,6500 ,4700 , 8600,,6300 ,4200 , 8600,,6000 ,3800 , 8500,,3,
Costa Rica,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,3,
Croatia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-54,"Children estimates were not available at the time of publication."
Cuba,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , 580,,38,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
